# Simulation 1 (Up to date)
# 728 data points written for 18 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Gravitational acceleration (ft/s²),Angle of attack (°),Mass (lb),Stability margin calibers (?),Mach number (?),Reynolds number (?),Thrust (lbf),Drag force (lbf),Drag coefficient (?),Normal force coefficient (?),Air temperature (°F),Air pressure (psi),Dynamic Pressure (psi),Max Dynamic Pressure (psi)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-27.617,32.127,90,99.988,NaN,0.0052312,525973,14.016,0,0.72248,NaN,59,14.696,0,0
0.01,0,0,-18.597,32.127,90,99.988,NaN,0.0051994,522781,42.047,0,0.72321,NaN,59,14.696,0,0
0.02,0,0,-9.5711,32.127,90,99.962,NaN,0.0051677,519589,70.078,0,0.72395,NaN,59,14.696,0,0
0.03,0,0,-0.54084,32.127,90,99.936,NaN,0.0051359,516396,98.109,0,0.7247,NaN,59,14.696,0,0
0.04,0,0,8.494,32.127,90,99.911,NaN,0.0051042,513204,126.14,0,0.72545,NaN,59,14.696,0,0
0.05,4.2505e-4,0.085027,17.534,32.127,89.14,99.885,NaN,0.005073,510069,154.17,4.5825e-8,0.7262,NaN,59,14.696,5.9677e-8,5.9677e-8
0.06,0.0021524,0.26047,26.578,32.127,87.344,99.86,NaN,0.0050339,506141,182.2,1.3058e-6,0.72714,NaN,59,14.696,5.6002e-7,5.9677e-8
0.07,0.0060865,0.52637,35.626,32.127,84.598,99.834,NaN,0.0050069,503420,210.23,1.0566e-5,0.7278,NaN,59,14.696,2.2871e-6,5.9677e-8
0.08,0.013132,0.88278,44.68,32.127,80.91,99.809,NaN,0.0050036,503089,238.26,4.827e-5,0.72788,NaN,59,14.696,6.4328e-6,5.9677e-8
0.09,0.024195,1.3297,53.738,32.127,76.333,99.783,NaN,0.0050395,506704,266.3,1.576e-4,0.727,NaN,59,14.696,1.4596e-5,5.9677e-8
0.1,0.04018,1.8673,62.8,32.127,70.989,99.758,NaN,0.0051329,516094,294.33,4.1072e-4,0.72477,NaN,59,14.696,2.8782e-5,5.9677e-8
0.11,0.061993,2.4955,71.867,32.127,65.337,99.732,NaN,0.0053552,538439,322.36,8.9922e-4,0.71966,NaN,59,14.696,5.1406e-5,2.8782e-5
# Event LIFTOFF occurred at t=0.12 seconds
0.12,0.090543,3.2144,80.939,32.127,59.469,99.707,NaN,0.0056659,569684,350.39,0.0017391,0.71298,NaN,59,14.696,8.529e-5,2.8782e-5
0.13,0.12673,4.024,90.015,32.127,53.637,99.681,NaN,0.0060775,611064,378.42,0.0030501,0.70482,NaN,59,14.696,1.3367e-4,2.8782e-5
0.14,0.17148,4.9244,99.096,32.127,48.061,99.655,NaN,0.0065978,663377,406.45,0.0049445,0.6955,NaN,58.999,14.696,2.0017e-4,2.8782e-5
0.15,0.22568,5.9157,108.18,32.127,42.895,99.63,NaN,0.0072306,727000,434.48,0.0075186,0.68538,NaN,58.999,14.696,2.8887e-4,2.8782e-5
0.16,0.29024,6.9978,117.27,32.127,38.455,99.604,NaN,0.0080017,804534,462.51,0.010824,0.67451,NaN,58.999,14.696,4.0422e-4,2.8887e-4
0.17,0.36609,8.1708,126.36,32.127,34.513,99.579,NaN,0.0088793,892771,490.55,0.01495,0.66369,NaN,58.999,14.696,5.5109e-4,2.8887e-4
0.18,0.45411,9.4348,135.46,32.127,31.047,99.553,NaN,0.009861,991471,518.58,0.01996,0.65313,NaN,58.998,14.696,7.3478e-4,2.8887e-4
0.19,0.55524,10.79,144.57,32.127,28.015,99.528,NaN,0.010944,1100364,546.61,0.02591,0.64296,NaN,58.998,14.696,9.6098e-4,2.8887e-4
0.2,0.67036,12.236,153.67,32.127,25.369,99.502,NaN,0.012126,1219180,574.64,0.032854,0.63324,NaN,58.998,14.696,0.0012358,0.0012358
0.21,0.80041,13.773,162.78,32.127,22.912,99.477,NaN,0.013389,1346211,602.67,0.040839,0.62413,NaN,58.997,14.696,0.0015658,0.0012358
0.22,0.94628,15.401,171.9,32.127,20.77,99.451,NaN,0.014749,1482955,630.7,0.0499,0.61548,NaN,58.997,14.695,0.0019579,0.0012358
0.23,1.1089,17.121,181.02,32.127,18.897,99.426,NaN,0.016204,1629186,658.73,0.06009,0.60731,NaN,58.996,14.695,0.0024195,0.0012358
