alt,sigma,delta,theta,temp,press,dens,a,visc,k.visc,ratio
-1000,1.0296,1.0367,1.0069,522.2,2193.8,0.0024472,1120.3,0.376,1.54E-04,7.3
0,1,1,1,518.7,2116.2,0.0023769,1116.5,0.374,1.57E-04,7.1
1000,0.9711,0.9644,0.9931,515.1,2040.9,0.0023081,1112.6,0.372,1.61E-04,6.91
2000,0.9428,0.9298,0.9863,511.5,1967.7,0.0022409,1108.7,0.37,1.65E-04,6.72
3000,0.9151,0.8963,0.9794,508,1896.7,0.0021752,1104.9,0.368,1.69E-04,6.54
4000,0.8881,0.8637,0.9725,504.4,1827.7,0.0021109,1101,0.366,1.73E-04,6.36
5000,0.8617,0.8321,0.9656,500.8,1760.9,0.0020482,1097.1,0.364,1.78E-04,6.18
6000,0.8359,0.8014,0.9588,497.3,1696,0.0019869,1093.2,0.362,1.82E-04,6.01
7000,0.8107,0.7717,0.9519,493.7,1633.1,0.001927,1089.3,0.36,1.87E-04,5.84
8000,0.7861,0.7429,0.945,490.2,1572.1,0.0018685,1085.3,0.358,1.91E-04,5.67
9000,0.7621,0.7149,0.9381,486.6,1512.9,0.0018113,1081.4,0.355,1.96E-04,5.51
10000,0.7386,0.6878,0.9313,483,1455.6,0.0017555,1077.4,0.353,2.01E-04,5.35
11000,0.7157,0.6616,0.9244,479.5,1400.1,0.0017011,1073.4,0.351,2.07E-04,5.2
12000,0.6933,0.6362,0.9175,475.9,1346.2,0.001648,1069.4,0.349,2.12E-04,5.05
13000,0.6715,0.6115,0.9107,472.3,1294.1,0.0015961,1065.4,0.347,2.18E-04,4.9
14000,0.6502,0.5877,0.9038,468.8,1243.6,0.0015455,1061.4,0.345,2.23E-04,4.75
15000,0.6295,0.5646,0.8969,465.2,1194.8,0.0014962,1057.4,0.343,2.29E-04,4.61
