x,x/L,theta,v,v/vD,,,,
0,0,0,0,0,L = 2.127583,,-3.7714,3.7714
0.01,0.004700169,-1.62E-06,-0.00013115,3.47749E-05,P = 1.2348,,,
0.02,0.009400338,-1.30E-05,-0.00052378,0.000138882,,,,
0.03,0.014100507,-4.38E-05,-0.0011767,0.000312006,,,,
0.04,0.018800677,-0.00010381,-0.0020885,0.000553773,,,,
0.05,0.023500846,-0.00020275,-0.0032582,0.000863923,,,,
0.06,0.028201015,-0.00035035,-0.0046844,0.001242085,,,,
0.07,0.032901184,-0.00055634,-0.0063659,0.001687941,,,,
0.08,0.037601353,-0.00083046,-0.0083015,0.002201172,,,,
0.09,0.042301522,-0.0011824,-0.01049,0.00278146,,,,
0.1,0.047001692,-0.001622,-0.01293,0.003428435,,,,
0.11,0.051701861,-0.0021589,-0.01562,0.004141698,,,,
0.12,0.05640203,-0.0028028,-0.01856,0.004921249,,,,
0.13,0.061102199,-0.0035635,-0.021747,0.005766294,,,,
0.14,0.065802368,-0.0044508,-0.025181,0.006676831,,,,
0.15,0.070502537,-0.0054742,-0.028861,0.007652596,,,,
0.16,0.075202707,-0.0066437,-0.032784,0.008692793,,,,
0.17,0.079902876,-0.0079689,-0.036951,0.009797688,,,,
0.18,0.084603045,-0.0094595,-0.041359,0.010966485,,,,
0.19,0.089303214,-0.011125,-0.046008,0.012199183,,,,
0.2,0.094003383,-0.012976,-0.050896,0.013495254,,,,
0.21,0.098703552,-0.015021,-0.056023,0.014854696,,,,
0.22,0.103403721,-0.017271,-0.061385,0.016276449,,,,
0.23,0.108103891,-0.019735,-0.066984,0.017761044,,,,
0.24,0.11280406,-0.022422,-0.072817,0.019307684,,,,
0.25,0.117504229,-0.025344,-0.078882,0.02091584,,,,
0.26,0.122204398,-0.028508,-0.08518,0.022585777,,,,
0.27,0.126904567,-0.031926,-0.091708,0.024316699,,,,
0.28,0.131604736,-0.035606,-0.098466,0.026108607,,,,
0.29,0.136304906,-0.039559,-0.10545,0.027960439,,,,
0.3,0.141005075,-0.043794,-0.11266,0.029872196,,,,
0.31,0.145705244,-0.048321,-0.1201,0.031844938,,,,
0.32,0.150405413,-0.05315,-0.12777,0.033878666,,,,
0.33,0.155105582,-0.05829,-0.13565,0.035968076,,,,
0.34,0.159805751,-0.063751,-0.14376,0.038118471,,,,
0.35,0.164505921,-0.069543,-0.15209,0.040327199,,,,
0.36,0.16920609,-0.075676,-0.16064,0.042594262,,,,
0.37,0.173906259,-0.082159,-0.1694,0.044917007,,,,
0.38,0.178606428,-0.089002,-0.17839,0.047300737,,,,
0.39,0.183306597,-0.096215,-0.18759,0.04974015,,,,
0.4,0.188006766,-0.10381,-0.197,0.052235244,,,,
0.41,0.192706936,-0.11179,-0.20663,0.054788673,,,,
0.42,0.197407105,-0.12017,-0.21647,0.057397783,,,,
0.43,0.202107274,-0.12896,-0.22652,0.060062576,,,,
0.44,0.206807443,-0.13817,-0.23678,0.062783051,,,,
0.45,0.211507612,-0.1478,-0.24724,0.065556557,,,,
0.46,0.216207781,-0.15788,-0.25792,0.068388397,,,,
