# Simulation 10 (Up to date)
# 803 data points written for 6 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (110 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (?),Air Density (lb/ft³),Dynamic Pressure (psi)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,NaN,7.6475,0
0.01,0,0,NaN,7.6475,0
0.02,0,0,NaN,7.6475,0
0.03,0,0,NaN,7.6475,0
0.04,0,0,NaN,7.6475,0
0.05,4.2505e-4,0.085027,NaN,7.6475,5.9677e-8
0.06,0.0021524,0.26047,NaN,7.6475,5.6002e-7
0.07,0.0060865,0.52637,NaN,7.6475,2.2871e-6
0.08,0.013132,0.88278,NaN,7.6475,6.4328e-6
0.09,0.024195,1.3297,NaN,7.6475,1.4596e-5
0.1,0.04018,1.8673,NaN,7.6475,2.8782e-5
0.11,0.061993,2.4955,NaN,7.6475,5.1406e-5
# Event LIFTOFF occurred at t=0.12 seconds
0.12,0.090543,3.2144,NaN,7.6475,8.529e-5
0.13,0.12673,4.024,NaN,7.6475,1.3367e-4
0.14,0.17148,4.9244,NaN,7.6475,2.0018e-4
0.15,0.22568,5.9157,NaN,7.6475,2.8887e-4
0.16,0.29024,6.9978,NaN,7.6474,4.0422e-4
0.17,0.36609,8.1708,NaN,7.6474,5.5109e-4
0.18,0.45411,9.4348,NaN,7.6474,7.3478e-4
0.19,0.55524,10.79,NaN,7.6474,9.6098e-4
0.2,0.67037,12.236,NaN,7.6474,0.0012358
0.21,0.80041,13.773,NaN,7.6473,0.0015658
0.22,0.94628,15.401,NaN,7.6473,0.0019579
0.23,1.1089,17.121,NaN,7.6473,0.0024195
0.24,1.2891,18.931,NaN,7.6472,0.0029583
0.25,1.488,20.833,NaN,7.6472,0.0035825
0.26,1.706,22.781,NaN,7.6471,0.0042837
0.27,1.9436,24.729,NaN,7.6471,0.0050477
0.28,2.2006,26.678,NaN,7.647,0.0058745
0.29,2.4771,28.627,NaN,7.647,0.0067643
0.3,2.7732,30.577,NaN,7.6469,0.0077171
0.31,3.0887,32.528,NaN,7.6468,0.008733
# Event LAUNCHROD occurred at t=0.32 seconds
0.32,3.4237,34.478,-1.5299,7.6468,0.0098119
0.335,3.9628,37.406,-1.4066,7.6466,0.011549
0.3575,4.8539,41.799,-1.2542,7.6464,0.01442
0.39125,6.3759,48.393,-1.1062,7.6461,0.019328
0.44125,9.0399,58.172,-0.84109,7.6455,0.027926
0.49125,12.193,67.963,-0.62546,7.6449,0.038115
0.54125,15.837,77.783,-0.43635,7.6441,0.04992
0.59125,19.972,87.64,-0.24861,7.6432,0.063366
0.64125,24.601,97.535,-0.043429,7.6422,0.078471
0.69125,29.726,107.47,0.12733,7.641,0.095251
0.74125,35.349,117.43,0.24642,7.6398,0.11372
0.79125,41.47,127.44,0.38583,7.6385,0.1339
0.84125,48.093,137.47,0.47773,7.6371,0.15579
0.89125,55.218,147.51,0.54839,7.6355,0.17933
0.94125,62.844,157.54,0.63626,7.6338,0.2045
0.99125,70.971,167.56,0.6691,7.6321,0.2313
1.0413,79.6,177.58,0.6849,7.6302,0.25973
1.0913,88.727,187.52,0.715,7.6282,0.28955
1.1413,98.349,197.33,0.78317,7.6261,0.32054
1.1913,108.46,207.01,0.81047,7.6239,0.35266
1.2413,119.05,216.56,0.86808,7.6216,0.38581
1.2913,130.11,226.02,0.88929,7.6192,0.42012
1.3413,141.65,235.55,0.89702,7.6167,0.45615
1.3913,153.67,245.16,0.92147,7.6141,0.49397
1.4413,166.17,254.85,0.96519,7.6114,0.53361
1.4913,179.15,264.63,0.98206,7.6085,0.57512
1.5413,192.63,274.42,1.0323,7.6056,0.61823
1.5913,206.6,284.19,1.0924,7.6026,0.66275
1.6413,221.05,293.92,1.1239,7.5994,0.70864
1.6913,235.99,303.63,1.1573,7.5962,0.7559
