# Simulation 2 (Up to date)
# 833 data points written for 4 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Stability margin calibers (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,NaN
0.01,0,0,NaN
0.02,0,0,NaN
0.03,0,0,NaN
0.04,3.6851e-4,0.073724,NaN
0.05,0.0020393,0.26046,NaN
0.06,0.0061429,0.56029,NaN
0.07,0.013811,0.97328,NaN
0.08,0.026174,1.4995,NaN
0.09,0.044367,2.139,NaN
# Event LIFTOFF occurred at t=0.1 seconds
0.1,0.069521,2.8919,NaN
0.11,0.10277,3.7583,NaN
0.12,0.14525,4.7382,NaN
0.13,0.1981,5.8316,NaN
0.14,0.26245,7.0388,NaN
0.15,0.33945,8.3596,NaN
0.16,0.43021,9.7942,NaN
0.17,0.5359,11.343,NaN
0.18,0.65764,13.005,NaN
0.19,0.79657,14.782,NaN
0.2,0.95384,16.672,NaN
0.21,1.1306,18.677,NaN
0.22,1.3279,20.796,NaN
0.23,1.5471,23.029,NaN
0.24,1.7891,25.376,NaN
0.25,2.0552,27.838,NaN
0.26,2.3461,30.358,NaN
0.27,2.6623,32.878,NaN
0.27998,3.003,35.394,NaN
# Event LAUNCHROD occurred at t=0.28925 seconds
0.28925,3.3419,37.732,0.67581
0.30315,3.8909,41.241,0.77346
0.32401,4.806,46.508,0.9399
0.35529,6.3846,54.416,1.1524
0.40222,9.2167,66.294,1.3613
0.45222,12.848,78.972,1.4748
0.50222,17.114,91.676,1.6422
0.55222,22.017,104.43,1.7877
0.60222,27.558,117.24,1.8992
0.65222,33.741,130.1,1.9551
0.70222,40.569,143.01,2.0598
0.75222,48.044,155.98,2.1624
0.80222,56.168,169,2.2184
0.85222,64.945,182.06,2.2912
0.90222,74.374,195.12,2.3678
0.95222,84.457,208.18,2.4121
1.0022,95.192,221.24,2.4753
1.0522,106.58,234.29,2.5083
1.1022,118.62,247.22,2.5784
1.1522,131.3,259.99,2.621
1.2022,144.61,272.59,2.7003
1.2522,158.55,285.03,2.7463
1.3022,173.11,297.41,2.8476
1.3522,188.3,309.9,2.9214
1.4022,204.11,322.49,2.9586
1.4522,220.55,335.18,3.0237
1.5022,237.63,347.98,3.079
1.5522,255.35,360.77,3.0684
1.6022,273.7,373.53,3.027
1.6522,292.7,386.25,3.028
1.7022,312.33,398.93,3.0068
1.7522,332.59,411.55,2.9997
1.8022,353.48,424.07,2.9837
1.8522,374.99,436.49,3.0177
1.9022,397.13,448.81,3.0172
1.9522,419.87,461.06,3.038
2.0022,443.23,473.35,3.0771
2.0522,467.21,485.68,3.1236
2.1022,491.8,498.06,3.1674
2.1522,517.01,510.48,3.2053
2.2022,542.85,522.92,3.25
2.2522,569.31,535.35,3.3331
2.3022,596.38,547.76,3.3825
2.3522,624.08,560.15,3.4424
2.4022,652.4,572.52,3.4453
2.4522,681.33,584.83,3.4377
2.5022,710.88,597.06,3.4476
2.5522,741.04,609.21,3.4647
2.6022,771.8,621.29,3.4635
2.6522,803.16,633.27,3.4685
2.7022,835.12,645.15,3.5012
2.7522,867.67,656.94,3.5408
2.8022,900.81,668.62,3.5919
2.8522,934.53,680.19,3.637
2.9022,968.83,691.65,3.6918
2.9522,1003.7,703,3.7344
3.0022,1039.1,714.24,3.7614
3.0522,1075.1,725.35,3.754
3.1022,1111.7,736.37,3.7696
3.1522,1148.8,747.29,3.7709
3.2022,1186.4,758.13,3.7972
3.2522,1224.6,768.89,3.8217
3.3022,1263.3,779.54,3.8645
3.3522,1302.5,790.07,3.9177
3.4022,1342.3,800.49,3.979
3.4522,1382.6,810.78,3.9948
3.5022,1423.4,820.95,3.997
3.5522,1464.7,831.01,4.0095
3.6022,1506.5,840.94,4.0343
3.6522,1548.7,850.75,4.0602
3.7022,1591.5,860.44,4.104
3.7522,1634.8,870.01,4.1502
3.8022,1678.5,879.45,4.2009
3.8522,1722.7,888.76,4.2197
3.9022,1767.4,897.95,4.2321
3.9522,1812.5,906.91,4.2431
4.0022,1858.1,914.96,4.265
4.0522,1904,921.94,4.2932
4.1022,1950.2,927.86,4.3228
4.1522,1996.7,932.72,4.3695
4.2022,2043.5,936.84,4.3932
4.2522,2090.4,940.39,4.372
4.3022,2137.5,943.36,4.3802
4.3522,2184.7,945.76,4.3853
4.4022,2232.1,947.64,4.402
4.4522,2279.5,949.21,4.4345
4.5022,2327,950.47,4.4719
4.5522,2374.5,951.45,4.4605
4.6022,2422.1,952.13,4.4489
4.6522,2469.7,952.58,4.4513
4.7022,2517.4,952.8,4.4637
4.7522,2565,952.8,4.47
4.8022,2612.6,952.57,4.4906
4.8522,2660.3,952.13,4.5088
4.9022,2707.9,951.49,4.5014
4.9522,2755.4,950.65,4.492
5.0022,2802.9,949.61,4.4835
5.0522,2850.4,948.37,4.4846
5.1022,2897.7,947,4.5058
5.1522,2945.1,945.49,4.5204
5.2022,2992.3,943.85,4.5327
5.2522,3039.4,942.08,4.5105
5.3022,3086.5,940.21,4.5065
5.3522,3133.5,938.27,4.5029
5.4022,3180.3,936.26,4.5028
5.4522,3227.1,934.18,4.515
5.5022,3273.7,932.03,4.5345
5.5522,3320.3,929.78,4.5256
5.6022,3366.7,927.44,4.5178
5.6522,3413,924.99,4.5035
5.7022,3459.2,922.44,4.5055
5.7522,3505.3,919.82,4.5156
5.8022,3551.2,917.13,4.5257
5.8522,3597,914.38,4.5208
5.9022,3642.6,911.56,4.5113
5.9522,3688.1,908.68,4.5034
6.0022,3733.5,905.67,4.5065
6.0522,3778.7,902.53,4.5083
6.1022,3823.7,899.26,4.5116
6.1522,3868.6,895.85,4.5088
6.2022,3913.3,892.34,4.4844
6.2522,3957.9,888.82,4.4867
6.3022,4002.2,885.27,4.4785
6.3522,4046.4,881.71,4.4865
6.4022,4090.4,878.13,4.4928
6.4522,4134.2,874.53,4.4798
6.5022,4177.8,870.92,4.4783
6.5522,4221.3,867.3,4.4671
6.6022,4264.6,863.66,4.4651
6.6522,4307.7,860.02,4.4707
# Event BURNOUT occurred at t=6.7022 seconds
6.7022,4350.6,856.36,4.463
6.7522,4393.3,852.73,4.4545
6.8022,4435.8,849.12,4.4533
6.8522,4478.2,845.53,4.4538
6.9022,4520.4,841.96,4.4441
6.9522,4562.4,838.42,4.4409
7.0022,4604.2,834.89,4.4422
7.0522,4645.9,831.39,4.4381
7.1022,4687.4,827.91,4.4339
7.1522,4728.7,824.44,4.4292
7.2022,4769.8,821,4.4255
7.2522,4810.8,817.57,4.419
7.3022,4851.6,814.17,4.4173
7.3522,4892.2,810.78,4.4154
7.4022,4932.6,807.42,4.4084
7.4522,4972.9,804.07,4.4056
7.5022,5013.1,800.74,4.3908
7.5522,5053,797.42,4.3922
7.6022,5092.8,794.13,4.3854
7.6522,5132.4,790.85,4.3792
7.7022,5171.9,787.59,4.385
7.7522,5211.2,784.35,4.3827
7.8022,5250.3,781.12,4.3816
7.8522,5289.3,777.91,4.361
7.9022,5328.1,774.72,4.3648
7.9522,5366.8,771.55,4.3436
8.0022,5405.3,768.39,4.3358
8.0522,5443.6,765.25,4.3339
8.1022,5481.8,762.12,4.3361
8.1522,5519.8,759.01,4.3444
8.2022,5557.7,755.91,4.3552
8.2522,5595.4,752.83,4.3421
8.3022,5633,749.76,4.3237
8.3522,5670.4,746.71,4.3075
8.4022,5707.6,743.67,4.3003
8.4522,5744.8,740.64,4.3006
8.5022,5781.7,737.63,4.3053
8.5522,5818.5,734.63,4.3058
8.6022,5855.2,731.65,4.3257
8.6522,5891.7,728.68,4.3196
8.7022,5928,725.73,4.3267
8.7522,5964.3,722.79,4.3044
8.8022,6000.3,719.87,4.2846
8.8522,6036.2,716.95,4.2755
8.9022,6072,714.06,4.2735
8.9522,6107.6,711.17,4.2597
9.0022,6143.1,708.3,4.2648
9.0522,6178.5,705.44,4.27
9.1022,6213.7,702.59,4.271
9.1522,6248.7,699.76,4.2935
9.2022,6283.7,696.93,4.2837
9.2522,6318.4,694.12,4.2778
9.3022,6353.1,691.32,4.2625
9.3522,6387.6,688.52,4.2405
9.4022,6421.9,685.74,4.2476
9.4522,6456.1,682.98,4.2484
9.5022,6490.2,680.22,4.2381
