1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0.01,0,152,2.9605,2.9605,0,296.05,0,0,49889,0,0,44999,296.05,0,0,0,0,0,0,2.1211,88.746,27,0.0408,0.17879
0.02,0.029605,151.96,5.9162,5.9162,0,295.57,0,0,49803,6.0663,0,44915,295.57,0,0,0,0,0,0,2.1222,88.703,26.958,0.0408,0.71403
0.03,0.088767,151.92,8.8672,8.8672,0,295.1,0,0,49717,24.227,0,44830,295.1,0,0,0,0,0,0,2.1233,88.659,26.916,0.0408,1.604
0.04,0.17744,151.87,11.813,11.813,0,294.63,0,0,49632,54.422,0,44746,294.63,0,0,0,0,0,0,2.1244,88.616,26.874,0.0408,2.847
0.05,0.29557,151.83,14.749,14.749,0,293.51,0,0,49546,96.596,0,44565,293.51,0,0,0,0,0,0,2.1255,88.573,26.832,0.0408,4.4374
0.06,0.44306,151.79,17.675,17.675,0,292.68,0,0,49460,150.56,0,44426,292.68,0,0,0,0,0,0,2.1266,88.53,26.79,0.0408,6.3734
0.07,0.61981,151.75,20.593,20.593,0,291.78,0,0,49374,216.24,0,44276,291.78,0,0,0,0,0,0,2.1277,88.486,26.747,0.0408,8.6512
0.08,0.82575,151.71,23.501,23.501,0,290.79,0,0,49288,293.53,0,44114,290.79,0,0,0,0,0,0,2.1288,88.443,26.705,0.0408,11.267
0.09,1.0608,151.66,26.398,26.398,0,289.73,0,0,49202,382.28,0,43941,289.73,0,0,0,0,0,0,2.1299,88.4,26.663,0.0408,14.216
0.1,1.3247,151.62,29.284,29.284,0,288.59,0,0,49117,482.35,0,43757,288.59,0,0,0,0,0,0,2.131,88.356,26.621,0.0408,17.494
0.11,1.6176,151.58,32.158,32.158,0,287.38,0,0,49031,593.57,0,43561,287.38,0,0,0,0,0,0,2.1321,88.313,26.579,0.0408,21.097
0.12,1.9392,151.54,35.019,35.019,0,286.1,0,0,48945,715.79,0,43354,286.1,0,0,0,0,0,0,2.1333,88.27,26.537,0.0408,25.017
0.13,2.2894,151.49,37.866,37.866,0,284.74,0,0,48859,848.81,0,43137,284.74,0,0,0,0,0,0,2.1344,88.227,26.495,0.0408,29.251
0.14,2.668,151.45,40.7,40.7,0,283.31,0,0,48773,992.46,0,42909,283.31,0,0,0,0,0,0,2.1355,88.183,26.453,0.0408,33.792
0.15,3.075,151.41,43.518,43.518,0,281.82,0,0,48688,1146.5,0,42670,281.82,0,0,0,0,0,0,2.1366,88.14,26.411,0.0408,38.634
0.16,3.5102,151.37,46.32,46.32,0,280.25,0,0,48602,1310.8,0,42421,280.25,0,0,0,0,0,0,2.1377,88.097,26.369,0.0408,43.77
0.17,3.9734,151.33,49.107,49.107,0,278.62,0,0,48516,1485.1,0,42163,278.62,0,0,0,0,0,0,2.1388,88.053,26.326,0.0408,49.194
0.18,4.4645,151.28,51.876,51.876,0,276.92,0,0,48430,1669.1,0,41894,276.92,0,0,0,0,0,0,2.1399,88.01,26.284,0.0408,54.898
0.19,4.9832,151.24,54.627,54.627,0,275.16,0,0,48344,1862.7,0,41616,275.16,0,0,0,0,0,0,2.141,87.967,26.242,0.0408,60.877
0.2,5.5295,151.2,57.361,57.361,0,273.34,0,0,48258,2065.5,0,41329,273.34,0,0,0,0,0,0,2.1421,87.924,26.2,0.0408,67.121
0.21,6.1031,151.16,60.075,60.075,0,271.45,0,0,48173,2277.4,0,41032,271.45,0,0,0,0,0,0,2.1432,87.88,26.158,0.0408,73.624
0.22,6.7039,151.12,62.77,62.77,0,269.51,0,0,48087,2498,0,40727,269.51,0,0,0,0,0,0,2.1443,87.837,26.116,0.0408,80.379
0.23,7.3316,151.07,65.445,65.445,0,267.51,0,0,48001,2727.2,0,40414,267.51,0,0,0,0,0,0,2.1454,87.794,26.074,0.0408,87.376
0.24,7.986,151.03,68.1,68.1,0,265.45,0,0,47915,2964.6,0,40092,265.45,0,0,0,0,0,0,2.1465,87.751,26.032,0.0408,94.607
0.25,8.667,150.99,70.733,70.733,0,263.34,0,0,47829,3209.9,0,39762,263.34,0,0,0,0,0,0,2.1477,87.707,25.99,0.0408,102.07
0.26,9.3743,150.95,73.345,73.345,0,261.18,0,0,47743,3463,0,39424,261.18,0,0,0,0,0,0,2.1488,87.664,25.947,0.0408,109.74
0.27,10.108,150.91,75.935,75.935,0,258.97,0,0,47658,3723.5,0,39080,258.97,0,0,0,0,0,0,2.1499,87.621,25.905,0.0408,117.63
0.28,10.867,150.86,78.502,78.502,0,256.71,0,0,47572,3991,0,38727,256.71,0,0,0,0,0,0,2.151,87.577,25.863,0.0408,125.72
0.29,11.652,150.82,81.046,81.046,0,254.4,0,0,47486,4265.4,0,38369,254.4,0,0,0,0,0,0,2.1521,87.534,25.821,0.0408,134
0.3,12.463,150.78,83.566,83.566,0,252.05,0,0,47400,4546.4,0,38003,252.05,0,0,0,0,0,0,2.1532,87.491,25.779,0.0408,142.46
0.31,13.298,150.74,86.063,86.063,0,249.65,0,0,47314,4833.6,0,37632,249.65,0,0,0,0,0,0,2.1543,87.448,25.737,0.0408,151.1
0.32,14.159,150.69,88.535,88.535,0,247.21,0,0,47228,5126.7,0,37254,247.21,0,0,0,0,0,0,2.1554,87.404,25.695,0.0408,159.9
0.33,15.044,150.65,90.982,90.982,0,244.74,0,0,47143,5425.4,0,36871,244.74,0,0,0,0,0,0,2.1565,87.361,25.653,0.0408,168.87
0.34,15.954,150.61,93.405,93.405,0,242.23,0,0,47057,5729.5,0,36482,242.23,0,0,0,0,0,0,2.1576,87.318,25.611,0.0408,177.98
0.35,16.888,150.57,95.802,95.802,0,239.68,0,0,46971,6038.7,0,36089,239.68,0,0,0,0,0,0,2.1587,87.274,25.569,0.0408,187.23
0.36,17.846,150.53,98.173,98.173,0,237.1,0,0,46885,6352.6,0,35690,237.1,0,0,0,0,0,0,2.1598,87.231,25.526,0.0408,196.61
0.37,18.828,150.48,100.52,100.52,0,234.49,0,0,46799,6670.9,0,35287,234.49,0,0,0,0,0,0,2.1609,87.188,25.484,0.0408,206.12
0.38,19.833,150.44,102.84,102.84,0,231.85,0,0,46714,6993.4,0,34880,231.85,0,0,0,0,0,0,2.1621,87.145,25.442,0.0408,215.74
0.39,20.861,150.4,105.13,105.13,0,229.19,0,0,46628,7319.7,0,34470,229.19,0,0,0,0,0,0,2.1632,87.101,25.4,0.0408,225.46
0.4,21.913,150.36,107.39,107.39,0,226.49,0,0,46542,7649.6,0,34055,226.49,0,0,0,0,0,0,2.1643,87.058,25.358,0.0408,235.28
0.41,22.987,150.32,109.63,109.63,0,223.78,0,0,46456,7982.8,0,33638,223.78,0,0,0,0,0,0,2.1654,87.015,25.316,0.0408,245.18
0.42,24.083,150.27,111.84,111.84,0,221.04,0,0,46370,8318.9,0,33217,221.04,0,0,0,0,0,0,2.1665,86.971,25.274,0.0408,255.17
0.43,25.201,150.23,114.02,114.02,0,218.29,0,0,46284,8657.8,0,32794,218.29,0,0,0,0,0,0,2.1676,86.928,25.232,0.0408,265.23
0.44,26.342,150.19,116.18,116.18,0,215.51,0,0,46199,8999,0,32368,215.51,0,0,0,0,0,0,2.1687,86.885,25.19,0.0408,275.35
0.45,27.503,150.15,118.31,118.31,0,212.72,0,0,46113,9342.4,0,31940,212.72,0,0,0,0,0,0,2.1698,86.842,25.148,0.0408,285.53
0.46,28.686,150.11,120.41,120.41,0,209.92,0,0,46027,9687.7,0,31510,209.92,0,0,0,0,0,0,2.1709,86.798,25.105,0.0408,295.75
0.47,29.89,150.06,122.48,122.48,0,207.11,0,0,45941,10035,0,31079,207.11,0,0,0,0,0,0,2.172,86.755,25.063,0.0408,306.01
0.48,31.115,150.02,124.52,124.52,0,204.28,0,0,45855,10383,0,30646,204.28,0,0,0,0,0,0,2.1731,86.712,25.021,0.0408,316.3
0.49,32.36,149.98,126.53,126.53,0,201.45,0,0,45769,10732,0,30213,201.45,0,0,0,0,0,0,2.1742,86.668,24.979,0.0408,326.62
0.5,33.626,149.94,128.52,128.52,0,198.6,0,0,45684,11082,0,29778,198.6,0,0,0,0,0,0,2.1754,86.625,24.937,0.0408,336.95
0.51,34.911,149.9,130.48,130.48,0,195.76,0,0,45598,11433,0,29343,195.76,0,0,0,0,0,0,2.1765,86.582,24.895,0.0408,347.3
0.52,36.216,149.85,132.41,132.41,0,192.91,0,0,45512,11784,0,28908,192.91,0,0,0,0,0,0,2.1776,86.539,24.853,0.0408,357.64
0.53,37.54,149.81,134.31,134.31,0,190.05,0,0,45426,12135,0,28472,190.05,0,0,0,0,0,0,2.1787,86.495,24.811,0.0408,367.98
