1,2,3,4,5,6,7,8,9,10
0,0,152,0,0,0,0,0,0,0
0.001,0.00014257,152,0.14257,26565,4.8852e-05,3.214e-07,26565,0.0408,142.57
0.002,0.00042772,151.99,0.28515,26565,0.00019542,1.2857e-06,26565,0.0408,142.58
0.003,0.00085546,151.99,0.42774,26565,0.0004397,2.893e-06,26565,0.0408,142.58
0.004,0.0014258,151.98,0.57032,26565,0.00078173,5.1435e-06,26565,0.0408,142.59
0.005,0.0021387,151.98,0.71292,26565,0.0012215,8.0372e-06,26565,0.0408,142.6
0.006,0.0029942,151.97,0.85552,26565,0.001759,1.1574e-05,26565,0.0408,142.6
0.007,0.0039924,151.97,0.99813,26565,0.0023943,1.5755e-05,26565,0.0408,142.61
0.008,0.0051331,151.96,1.1407,26565,0.0031274,2.058e-05,26565,0.0408,142.61
0.009,0.0064165,151.96,1.2834,26565,0.0039583,2.6048e-05,26565,0.0408,142.62
0.01,0.0078424,151.95,1.426,26565,0.004887,3.2161e-05,26565,0.0408,142.62
0.011,0.0094111,151.95,1.5686,26565,0.0059135,3.8917e-05,26565,0.0408,142.63
0.012,0.011122,151.94,1.7113,26565,0.0070378,4.6318e-05,26565,0.0408,142.64
0.013,0.012976,151.94,1.8539,26565,0.00826,5.4364e-05,26565,0.0408,142.64
0.014,0.014973,151.93,1.9965,26565,0.00958,6.3054e-05,26565,0.0408,142.65
0.015,0.017112,151.93,2.1392,26565,0.010998,7.2388e-05,26565,0.0408,142.65
0.016,0.019394,151.92,2.2819,26565,0.012514,8.2368e-05,26565,0.0408,142.66
0.017,0.021818,151.92,2.4245,26565,0.014127,9.2992e-05,26565,0.0408,142.66
0.018,0.024385,151.91,2.5672,26565,0.015839,0.00010426,26565,0.0408,142.67
0.019,0.027095,151.91,2.7099,26565,0.017648,0.00011618,26565,0.0408,142.68
0.02,0.029948,151.9,2.8525,26565,0.019556,0.00012874,26565,0.0408,142.68
0.021,0.032943,151.9,2.9952,26565,0.021561,0.00014194,26565,0.0408,142.69
0.022,0.036081,151.89,3.1379,26565,0.023664,0.00015579,26565,0.0408,142.69
0.023,0.039362,151.89,3.2806,26565,0.025866,0.00017029,26565,0.0408,142.7
0.024,0.042785,151.88,3.4233,26565,0.028165,0.00018544,26565,0.0408,142.7
0.025,0.046351,151.88,3.566,26565,0.030562,0.00020123,26565,0.0408,142.71
0.026,0.05006,151.87,3.7088,26565,0.033057,0.00021766,26565,0.0408,142.72
0.027,0.053911,151.87,3.8515,26565,0.035651,0.00023474,26565,0.0408,142.72
0.028,0.057905,151.86,3.9942,26565,0.038342,0.00025247,26565,0.0408,142.73
0.029,0.062042,151.86,4.1369,26565,0.041131,0.00027085,26565,0.0408,142.73
0.03,0.066322,151.85,4.2797,26565,0.044018,0.00028987,26565,0.0408,142.74
0.031,0.070745,151.85,4.4224,26565,0.047004,0.00030954,26565,0.0408,142.74
0.032,0.07531,151.84,4.5652,26565,0.050087,0.00032986,26565,0.0408,142.75
0.033,0.080018,151.84,4.7079,26565,0.053269,0.00035082,26565,0.0408,142.76
0.034,0.084868,151.83,4.8507,26565,0.056548,0.00037243,26565,0.0408,142.76
0.035,0.089862,151.83,4.9935,26565,0.059926,0.00039469,26565,0.0408,142.77
0.036,0.094998,151.82,5.1362,26565,0.063402,0.0004176,26565,0.0408,142.77
0.037,0.10028,151.82,5.279,26565,0.066976,0.00044115,26565,0.0408,142.78
0.038,0.1057,151.81,5.4218,26565,0.070648,0.00046535,26565,0.0408,142.79
0.039,0.11126,151.81,5.5646,26565,0.074418,0.0004902,26565,0.0408,142.79
0.04,0.11697,151.8,5.7074,26565,0.078286,0.0005157,26565,0.0408,142.8
0.041,0.12282,151.8,5.8502,26565,0.082253,0.00054185,26565,0.0408,142.8
0.042,0.12881,151.79,5.993,26565,0.086318,0.00056865,26565,0.0408,142.81
0.043,0.13495,151.79,6.1358,26565,0.090481,0.00059609,26565,0.0408,142.81
0.044,0.14123,151.78,6.2786,26565,0.094742,0.00062418,26565,0.0408,142.82
0.045,0.14765,151.78,6.4215,26565,0.099101,0.00065293,26565,0.0408,142.83
0.046,0.15421,151.77,6.5643,26565,0.10356,0.00068232,26565,0.0408,142.83
0.047,0.16092,151.77,6.7071,26565,0.10811,0.00071236,26565,0.0408,142.84
0.048,0.16777,151.76,6.85,26565,0.11277,0.00074305,26565,0.0408,142.84
0.049,0.17476,151.76,6.9928,26565,0.11752,0.00077439,26565,0.0408,142.85
0.05,0.1819,151.75,7.1357,26565,0.12237,0.00080638,26565,0.0408,142.85
0.051,0.18918,151.75,7.2785,26565,0.12732,0.00083901,26565,0.0408,142.86
0.052,0.1966,151.74,7.4214,26565,0.13237,0.0008723,26565,0.0408,142.87
0.053,0.20416,151.74,7.5643,26565,0.13751,0.00090624,26565,0.0408,142.87
0.054,0.21187,151.73,7.7071,26565,0.14276,0.00094083,26565,0.0408,142.88
0.055,0.21972,151.73,7.85,26565,0.1481,0.00097607,26565,0.0408,142.88
0.056,0.22771,151.72,7.9929,26565,0.15354,0.001012,26565,0.0408,142.89
0.057,0.23585,151.72,8.1358,26565,0.15908,0.0010485,26565,0.0408,142.89
0.058,0.24413,151.71,8.2787,26565,0.16472,0.0010857,26565,0.0408,142.9
0.059,0.25255,151.71,8.4216,26565,0.17045,0.0011235,26565,0.0408,142.91
0.06,0.26111,151.7,8.5645,26565,0.17629,0.001162,26565,0.0408,142.91
0.061,0.26982,151.7,8.7074,26565,0.18222,0.0012012,26565,0.0408,142.92
0.062,0.27867,151.69,8.8504,26565,0.18825,0.001241,26565,0.0408,142.92
0.063,0.28767,151.69,8.9933,26565,0.19438,0.0012814,26565,0.0408,142.93
0.064,0.2968,151.68,9.1362,26565,0.20061,0.0013225,26565,0.0408,142.93
0.065,0.30608,151.68,9.2792,26565,0.20693,0.0013643,26565,0.0408,142.94
0.066,0.3155,151.67,9.4221,26565,0.21336,0.0014067,26565,0.0408,142.95
0.067,0.32507,151.67,9.5651,26565,0.21988,0.0014497,26565,0.0408,142.95
0.068,0.33478,151.66,9.708,26565,0.2265,0.0014934,26565,0.0408,142.96
0.069,0.34463,151.66,9.851,26565,0.23322,0.0015378,26565,0.0408,142.96
0.07,0.35462,151.65,9.994,26565,0.24004,0.0015828,26565,0.0408,142.97
0.071,0.36476,151.65,10.137,26565,0.24696,0.0016285,26565,0.0408,142.97
0.072,0.37504,151.64,10.28,26565,0.25397,0.0016748,26565,0.0408,142.98
0.073,0.38546,151.64,10.423,26565,0.26109,0.0017218,26565,0.0408,142.99
0.074,0.39603,151.63,10.566,26565,0.2683,0.0017694,26565,0.0408,142.99
0.075,0.40674,151.63,10.709,26565,0.27561,0.0018177,26565,0.0408,143
0.076,0.41759,151.62,10.852,26565,0.28302,0.0018666,26565,0.0408,143
0.077,0.42858,151.62,10.995,26565,0.29053,0.0019162,26565,0.0408,143.01
0.078,0.43972,151.61,11.138,26565,0.29814,0.0019664,26565,0.0408,143.01
0.079,0.451,151.61,11.281,26565,0.30584,0.0020173,26565,0.0408,143.02
0.08,0.46243,151.6,11.424,26565,0.31365,0.0020689,26565,0.0408,143.03
0.081,0.47399,151.6,11.567,26565,0.32155,0.0021211,26565,0.0408,143.03
0.082,0.4857,151.59,11.71,26565,0.32955,0.0021739,26565,0.0408,143.04
0.083,0.49756,151.59,11.853,26565,0.33765,0.0022274,26565,0.0408,143.04
0.084,0.50955,151.58,11.996,26565,0.34585,0.0022816,26565,0.0408,143.05
0.085,0.52169,151.58,12.139,26565,0.35415,0.0023364,26565,0.0408,143.05
0.086,0.53397,151.57,12.282,26565,0.36255,0.0023919,26565,0.0408,143.06
0.087,0.5464,151.57,12.425,26565,0.37104,0.002448,26565,0.0408,143.07
0.088,0.55897,151.56,12.568,26565,0.37964,0.0025048,26565,0.0408,143.07
0.089,0.57168,151.56,12.711,26565,0.38833,0.0025622,26565,0.0408,143.08
0.09,0.58453,151.55,12.855,26565,0.39712,0.0026203,26565,0.0408,143.08
0.091,0.59753,151.55,12.998,26565,0.40601,0.0026791,26565,0.0408,143.09
0.092,0.61067,151.54,13.141,26565,0.415,0.0027385,26565,0.0408,143.09
0.093,0.62395,151.54,13.284,26565,0.42409,0.0027985,26565,0.0408,143.1
0.094,0.63738,151.53,13.427,26565,0.43328,0.0028592,26565,0.0408,143.11
0.095,0.65095,151.53,13.57,26565,0.44256,0.0029206,26565,0.0408,143.11
0.096,0.66466,151.52,13.713,26565,0.45195,0.0029826,26565,0.0408,143.12
0.097,0.67852,151.52,13.856,26565,0.46143,0.0030453,26565,0.0408,143.12
0.098,0.69252,151.51,13.999,26565,0.47101,0.0031087,26565,0.0408,143.13
0.099,0.70666,151.51,14.143,26565,0.48069,0.0031727,26565,0.0408,143.13
0.1,0.72095,151.5,14.286,26565,0.49047,0.0032373,26565,0.0408,143.14
0.101,0.73538,151.5,14.429,26565,0.50035,0.0033026,26565,0.0408,143.15
0.102,0.74995,151.49,14.572,26565,0.51033,0.0033686,26565,0.0408,143.15
0.103,0.76466,151.49,14.715,26565,0.5204,0.0034352,26565,0.0408,143.16
0.104,0.77952,151.48,14.858,26565,0.53058,0.0035025,26565,0.0408,143.16
0.105,0.79452,151.48,15.001,26565,0.54085,0.0035705,26565,0.0408,143.17
0.106,0.80967,151.47,15.145,26565,0.55123,0.0036391,26565,0.0408,143.17
0.107,0.82496,151.47,15.288,26565,0.5617,0.0037083,26565,0.0408,143.18
0.108,0.84039,151.46,15.431,26565,0.57227,0.0037782,26565,0.0408,143.19
0.109,0.85596,151.46,15.574,26565,0.58294,0.0038488,26565,0.0408,143.19
0.11,0.87168,151.45,15.717,26565,0.59371,0.00392,26565,0.0408,143.2
0.111,0.88754,151.45,15.861,26565,0.60458,0.0039919,26565,0.0408,143.2
0.112,0.90354,151.44,16.004,26565,0.61554,0.0040645,26565,0.0408,143.21
0.113,0.91969,151.44,16.147,26565,0.62661,0.0041377,26565,0.0408,143.21
0.114,0.93598,151.43,16.29,26565,0.63777,0.0042115,26565,0.0408,143.22
0.115,0.95241,151.43,16.433,26565,0.64904,0.0042861,26565,0.0408,143.23
0.116,0.96899,151.42,16.577,26565,0.6604,0.0043612,26565,0.0408,143.23
0.117,0.98571,151.42,16.72,26565,0.67186,0.0044371,26565,0.0408,143.24
0.118,1.0026,151.41,16.863,26565,0.68342,0.0045136,26565,0.0408,143.24
0.119,1.0196,151.41,17.006,26565,0.69508,0.0045907,26565,0.0408,143.25
0.12,1.0367,151.4,17.15,26565,0.70684,0.0046686,26565,0.0408,143.25
0.121,1.054,151.4,17.293,26565,0.7187,0.004747,26565,0.0408,143.26
0.122,1.0715,151.39,17.436,26565,0.73066,0.0048262,26565,0.0408,143.27
0.123,1.089,151.39,17.579,26565,0.74272,0.004906,26565,0.0408,143.27
0.124,1.1068,151.38,17.723,26565,0.75487,0.0049864,26565,0.0408,143.28
0.125,1.1246,151.38,17.866,26565,0.76713,0.0050676,26565,0.0408,143.28
0.126,1.1426,151.37,18.009,26565,0.77948,0.0051494,26565,0.0408,143.29
0.127,1.1608,151.37,18.153,26565,0.79194,0.0052318,26565,0.0408,143.29
0.128,1.1791,151.36,18.296,26565,0.80449,0.0053149,26565,0.0408,143.3
0.129,1.1975,151.36,18.439,26565,0.81714,0.0053987,26565,0.0408,143.31
0.13,1.2161,151.35,18.583,26565,0.82989,0.0054831,26565,0.0408,143.31
0.131,1.2348,151.35,18.726,26565,0.84274,0.0055682,26565,0.0408,143.32
0.132,1.2537,151.34,18.869,26565,0.85569,0.0056539,26565,0.0408,143.32
0.133,1.2727,151.34,19.013,26565,0.86874,0.0057403,26565,0.0408,143.33
0.134,1.2919,151.33,19.156,26565,0.88189,0.0058274,26565,0.0408,143.33
0.135,1.3112,151.33,19.299,26565,0.89514,0.0059151,26565,0.0408,143.34
0.136,1.3306,151.32,19.443,26565,0.90848,0.0060035,26565,0.0408,143.35
0.137,1.3502,151.32,19.586,26565,0.92193,0.0060926,26565,0.0408,143.35
0.138,1.3699,151.31,19.729,26565,0.93548,0.0061823,26565,0.0408,143.36
0.139,1.3898,151.31,19.873,26565,0.94912,0.0062727,26565,0.0408,143.36
0.14,1.4098,151.3,20.016,26565,0.96286,0.0063637,26565,0.0408,143.37
0.141,1.43,151.3,20.159,26565,0.97671,0.0064554,26565,0.0408,143.37
0.142,1.4503,151.29,20.303,26565,0.99065,0.0065478,26565,0.0408,143.38
0.143,1.4707,151.29,20.446,26565,1.0047,0.0066408,26565,0.0408,143.39
0.144,1.4913,151.28,20.59,26565,1.0188,0.0067345,26565,0.0408,143.39
0.145,1.512,151.28,20.733,26565,1.0331,0.0068289,26565,0.0408,143.4
0.146,1.5329,151.27,20.876,26565,1.0474,0.0069239,26565,0.0408,143.4
0.147,1.5539,151.27,21.02,26565,1.0619,0.0070196,26565,0.0408,143.41
0.148,1.5751,151.26,21.163,26565,1.0764,0.007116,26565,0.0408,143.41
0.149,1.5964,151.26,21.307,26565,1.091,0.007213,26565,0.0408,143.42
0.15,1.6179,151.25,21.45,26565,1.1058,0.0073106,26565,0.0408,143.43
0.151,1.6395,151.25,21.593,26565,1.1206,0.007409,26565,0.0408,143.43
0.152,1.6612,151.24,21.737,26565,1.1355,0.007508,26565,0.0408,143.44
0.153,1.6831,151.24,21.88,26565,1.1506,0.0076077,26565,0.0408,143.44
0.154,1.7051,151.23,22.024,26565,1.1657,0.007708,26565,0.0408,143.45
0.155,1.7273,151.23,22.167,26565,1.181,0.007809,26565,0.0408,143.45
0.156,1.7496,151.22,22.311,26565,1.1963,0.0079107,26565,0.0408,143.46
0.157,1.772,151.22,22.454,26565,1.2117,0.008013,26565,0.0408,143.47
0.158,1.7946,151.21,22.598,26565,1.2273,0.008116,26565,0.0408,143.47
0.159,1.8174,151.21,22.741,26565,1.2429,0.0082196,26565,0.0408,143.48
0.16,1.8403,151.2,22.885,26565,1.2586,0.008324,26565,0.0408,143.48
0.161,1.8633,151.2,23.028,26565,1.2745,0.008429,26565,0.0408,143.49
0.162,1.8865,151.19,23.172,26565,1.2904,0.0085346,26565,0.0408,143.49
0.163,1.9098,151.19,23.315,26565,1.3064,0.0086409,26565,0.0408,143.5
0.164,1.9332,151.18,23.459,26565,1.3226,0.0087479,26565,0.0408,143.51
0.165,1.9568,151.18,23.602,26565,1.3388,0.0088556,26565,0.0408,143.51
0.166,1.9806,151.17,23.746,26565,1.3551,0.0089639,26565,0.0408,143.52
0.167,2.0045,151.17,23.889,26565,1.3715,0.0090729,26565,0.0408,143.52
0.168,2.0285,151.16,24.033,26565,1.3881,0.0091825,26565,0.0408,143.53
0.169,2.0527,151.16,24.176,26565,1.4047,0.0092929,26565,0.0408,143.53
0.17,2.077,151.15,24.32,26565,1.4214,0.0094038,26565,0.0408,143.54
0.171,2.1015,151.15,24.463,26565,1.4383,0.0095155,26565,0.0408,143.55
0.172,2.1261,151.14,24.607,26565,1.4552,0.0096278,26565,0.0408,143.55
0.173,2.1508,151.14,24.75,26565,1.4722,0.0097408,26565,0.0408,143.56
0.174,2.1757,151.13,24.894,26565,1.4894,0.0098545,26565,0.0408,143.56
0.175,2.2007,151.13,25.038,26565,1.5066,0.0099688,26565,0.0408,143.57
0.176,2.2259,151.12,25.181,26565,1.5239,0.010084,26565,0.0408,143.57
0.177,2.2512,151.12,25.325,26565,1.5413,0.010199,26565,0.0408,143.58
0.178,2.2767,151.11,25.468,26565,1.5589,0.010316,26565,0.0408,143.59
0.179,2.3023,151.11,25.612,26565,1.5765,0.010433,26565,0.0408,143.59
0.18,2.3281,151.1,25.755,26565,1.5942,0.01055,26565,0.0408,143.6
0.181,2.354,151.1,25.899,26565,1.612,0.010669,26565,0.0408,143.6
0.182,2.38,151.09,26.043,26565,1.63,0.010788,26565,0.0408,143.61
0.183,2.4062,151.09,26.186,26565,1.648,0.010907,26565,0.0408,143.61
0.184,2.4325,151.08,26.33,26565,1.6661,0.011028,26565,0.0408,143.62
0.185,2.459,151.08,26.474,26565,1.6844,0.011149,26565,0.0408,143.63
0.186,2.4856,151.07,26.617,26565,1.7027,0.01127,26565,0.0408,143.63
0.187,2.5124,151.07,26.761,26565,1.7211,0.011393,26565,0.0408,143.64
0.188,2.5393,151.06,26.904,26565,1.7396,0.011516,26565,0.0408,143.64
0.189,2.5663,151.06,27.048,26565,1.7583,0.011639,26565,0.0408,143.65
0.19,2.5935,151.05,27.192,26565,1.777,0.011764,26565,0.0408,143.65
0.191,2.6209,151.05,27.335,26565,1.7958,0.011889,26565,0.0408,143.66
0.192,2.6484,151.04,27.479,26565,1.8147,0.012015,26565,0.0408,143.67
0.193,2.676,151.04,27.623,26565,1.8338,0.012141,26565,0.0408,143.67
0.194,2.7037,151.03,27.766,26565,1.8529,0.012268,26565,0.0408,143.68
0.195,2.7317,151.03,27.91,26565,1.8721,0.012396,26565,0.0408,143.68
0.196,2.7597,151.02,28.054,26565,1.8914,0.012524,26565,0.0408,143.69
0.197,2.7879,151.02,28.197,26565,1.9109,0.012653,26565,0.0408,143.69
0.198,2.8162,151.01,28.341,26565,1.9304,0.012783,26565,0.0408,143.7
0.199,2.8447,151.01,28.485,26565,1.95,0.012913,26565,0.0408,143.71
0.2,2.8734,151,28.629,26565,1.9697,0.013044,26565,0.0408,143.71
0.201,2.9021,151,28.772,26565,1.9896,0.013176,26565,0.0408,143.72
0.202,2.931,150.99,28.916,26565,2.0095,0.013308,26565,0.0408,143.72
0.203,2.9601,150.99,29.06,26565,2.0295,0.013441,26565,0.0408,143.73
0.204,2.9893,150.98,29.203,26565,2.0497,0.013575,26565,0.0408,143.73
0.205,3.0187,150.98,29.347,26565,2.0699,0.01371,26565,0.0408,143.74
0.206,3.0481,150.97,29.491,26565,2.0902,0.013845,26565,0.0408,143.75
0.207,3.0778,150.97,29.635,26565,2.1106,0.01398,26565,0.0408,143.75
0.208,3.1076,150.96,29.778,26565,2.1312,0.014117,26565,0.0408,143.76
0.209,3.1375,150.96,29.922,26565,2.1518,0.014254,26565,0.0408,143.76
0.21,3.1675,150.95,30.066,26565,2.1725,0.014392,26565,0.0408,143.77
0.211,3.1978,150.95,30.21,26565,2.1933,0.01453,26565,0.0408,143.77
0.212,3.2281,150.94,30.354,26565,2.2143,0.014669,26565,0.0408,143.78
0.213,3.2586,150.94,30.497,26565,2.2353,0.014809,26565,0.0408,143.79
0.214,3.2892,150.93,30.641,26565,2.2564,0.01495,26565,0.0408,143.79
0.215,3.32,150.93,30.785,26565,2.2777,0.015091,26565,0.0408,143.8
0.216,3.351,150.92,30.929,26565,2.299,0.015233,26565,0.0408,143.8
0.217,3.382,150.92,31.073,26565,2.3204,0.015375,26565,0.0408,143.81
0.218,3.4133,150.91,31.216,26565,2.3419,0.015518,26565,0.0408,143.81
0.219,3.4446,150.91,31.36,26565,2.3636,0.015662,26565,0.0408,143.82
0.22,3.4761,150.9,31.504,26565,2.3853,0.015807,26565,0.0408,143.83
0.221,3.5078,150.9,31.648,26565,2.4071,0.015952,26565,0.0408,143.83
0.222,3.5396,150.89,31.792,26565,2.4291,0.016098,26565,0.0408,143.84
0.223,3.5715,150.89,31.936,26565,2.4511,0.016244,26565,0.0408,143.84
0.224,3.6036,150.88,32.079,26565,2.4732,0.016391,26565,0.0408,143.85
0.225,3.6358,150.88,32.223,26565,2.4954,0.016539,26565,0.0408,143.85
0.226,3.6682,150.87,32.367,26565,2.5178,0.016688,26565,0.0408,143.86
0.227,3.7007,150.87,32.511,26565,2.5402,0.016837,26565,0.0408,143.86
0.228,3.7333,150.86,32.655,26565,2.5627,0.016987,26565,0.0408,143.87
0.229,3.7661,150.86,32.799,26565,2.5854,0.017138,26565,0.0408,143.88
0.23,3.7991,150.85,32.943,26565,2.6081,0.017289,26565,0.0408,143.88
0.231,3.8322,150.85,33.086,26565,2.6309,0.017441,26565,0.0408,143.89
0.232,3.8654,150.84,33.23,26565,2.6539,0.017593,26565,0.0408,143.89
0.233,3.8988,150.84,33.374,26565,2.6769,0.017747,26565,0.0408,143.9
0.234,3.9323,150.83,33.518,26565,2.7,0.017901,26565,0.0408,143.9
0.235,3.9659,150.83,33.662,26565,2.7233,0.018055,26565,0.0408,143.91
0.236,3.9997,150.82,33.806,26565,2.7466,0.018211,26565,0.0408,143.92
0.237,4.0337,150.82,33.95,26565,2.7701,0.018367,26565,0.0408,143.92
0.238,4.0678,150.81,34.094,26565,2.7936,0.018523,26565,0.0408,143.93
0.239,4.102,150.81,34.238,26565,2.8172,0.018681,26565,0.0408,143.93
0.24,4.1364,150.8,34.382,26565,2.841,0.018839,26565,0.0408,143.94
0.241,4.1709,150.8,34.526,26565,2.8648,0.018997,26565,0.0408,143.94
0.242,4.2056,150.79,34.67,26565,2.8887,0.019157,26565,0.0408,143.95
0.243,4.2404,150.79,34.814,26565,2.9128,0.019317,26565,0.0408,143.96
0.244,4.2754,150.78,34.958,26565,2.9369,0.019478,26565,0.0408,143.96
0.245,4.3105,150.78,35.101,26565,2.9612,0.019639,26565,0.0408,143.97
0.246,4.3457,150.77,35.245,26565,2.9855,0.019801,26565,0.0408,143.97
0.247,4.3811,150.77,35.389,26565,3.0099,0.019964,26565,0.0408,143.98
0.248,4.4166,150.76,35.533,26565,3.0345,0.020127,26565,0.0408,143.98
0.249,4.4523,150.76,35.677,26565,3.0591,0.020291,26565,0.0408,143.99
0.25,4.4881,150.75,35.821,26565,3.0839,0.020456,26565,0.0408,144
0.251,4.5241,150.75,35.965,26565,3.1087,0.020622,26565,0.0408,144
0.252,4.5602,150.74,36.109,26565,3.1337,0.020788,26565,0.0408,144.01
