t,isp (s),cstar (m/s),Tc (K),Pc (kPA),T (lbf),mdot(lbm),mdot (kg),,,T (lbf),massLoss,Lb loss,Acceleration G's,T (lbf),massLoss,Lb loss,Acceleration G's,,,0,T (N)
0,245.5410502,1634.35694,3597.285664,2757.904,1085.661572,5.199989574,2.3586784,avg mdot (lbm/s):,2.509267262,1085.661572,0,0,,1085.661572,0,0,,,,0,4829.239805
0.01,247.4516326,1629.379632,3697.588174,2657.222648,1054.167156,5.010156287,2.272571367,total prop mass (lbm):,23.88822433,1054.167156,0.023586784,0.051890925,8.870764652,1054.167156,0.023586784,0.051890925,8.870764652,,,0.01,4689.146342
0.02,247.2383316,1629.75859,3697.807026,2631.169568,1046.117536,4.976188164,2.257163667,,,1046.117536,0.046312498,0.101887495,8.806732652,1046.117536,0.046312498,0.101887495,8.806732652,,,0.02,4653.340022
0.03,247.1801009,1630.245114,3698.556936,2619.006688,1040.794426,4.952033436,2.246207254,,,1040.794426,0.068884134,0.151545096,8.765584475,1040.794426,0.068884134,0.151545096,8.765584475,,,0.03,4629.661764
0.04,247.1024874,1630.703165,3699.206664,2605.699234,1034.871958,4.925401268,2.234127091,,,1034.871958,0.091346207,0.200961655,8.719334246,1034.871958,0.091346207,0.200961655,8.719334246,,,0.04,4603.317443
0.05,247.026219,1631.16112,3699.853013,2592.845559,1029.160027,4.899728033,2.222481894,,,1029.160027,0.113687478,0.250112451,8.674800673,1029.160027,0.113687478,0.250112451,8.674800673,,,0.05,4577.909631
0.06,246.9454918,1631.611118,3700.468929,2579.983595,1023.432747,4.874053849,2.210836266,,,1023.432747,0.135912297,0.299007053,8.630082115,1023.432747,0.135912297,0.299007053,8.630082115,,,0.06,4552.433546
0.07,246.8620624,1632.055348,3701.061975,2567.239207,1017.752452,4.848639781,2.199308625,,,1017.752452,0.158020659,0.347645451,8.58570447,1017.752452,0.158020659,0.347645451,8.58570447,,,0.07,4527.166457
0.08,246.7756267,1632.493246,3701.630227,2554.576048,1012.102133,4.823410145,2.187864641,,,1012.102133,0.180013746,0.39603024,8.541525089,1012.102133,0.180013746,0.39603024,8.541525089,,,0.08,4502.032706
0.09,246.6864555,1632.924998,3702.174341,2542.002305,1006.486549,4.798381638,2.176511888,,,1006.486549,0.201892392,0.444163263,8.497584821,1006.486549,0.201892392,0.444163263,8.497584821,,,0.09,4477.053468
0.1,246.5946667,1633.350581,3702.694269,2529.514069,1000.904553,4.773545882,2.165246565,,,1000.904553,0.223657511,0.492046524,8.453874674,1000.904553,0.223657511,0.492046524,8.453874674,,,0.1,4452.223631
0.11,246.5004161,1633.770031,3703.190146,2517.110728,995.3565749,4.748901361,2.154067985,,,995.3565749,0.245309977,0.539681948,8.410398993,995.3565749,0.245309977,0.539681948,8.410398993,,,0.11,4427.545117
0.12,246.4038411,1634.183367,3703.662056,2504.790826,989.8425889,4.724444792,2.142974659,,,989.8425889,0.266850656,0.587071444,8.367158237,989.8425889,0.266850656,0.587071444,8.367158237,,,0.12,4403.017804
0.13,246.3050745,1634.590612,3704.110091,2492.553163,984.3626513,4.700173438,2.131965345,,,984.3626513,0.288280403,0.634216887,8.324153574,984.3626513,0.288280403,0.634216887,8.324153574,,,0.13,4378.641946
0.14,246.2042395,1634.991727,3704.534337,2480.396503,978.9167521,4.676084491,2.121038769,,,978.9167521,0.309600056,0.681120124,8.281385594,978.9167521,0.309600056,0.681120124,8.281385594,,,0.14,4354.417497
0.15,246.1014489,1635.386857,3704.934874,2468.319559,973.5048493,4.652175231,2.110193698,,,973.5048493,0.330810444,0.727782977,8.238854615,973.5048493,0.330810444,0.727782977,8.238854615,,,0.15,4330.344271
0.16,245.9968105,1635.775944,3705.311786,2456.321344,968.1268799,4.628442985,2.09942892,,,968.1268799,0.351912381,0.774207239,8.196560768,968.1268799,0.351912381,0.774207239,8.196560768,,,0.16,4306.421987
0.17,245.8904191,1636.159041,3705.665148,2444.400584,962.7827323,4.604885134,2.088743245,,,962.7827323,0.37290667,0.820394675,8.154503767,962.7827323,0.37290667,0.820394675,8.154503767,,,0.17,4282.65015
0.18,245.7823646,1636.536155,3705.995034,2432.556205,957.472278,4.58149911,2.078135511,,,957.472278,0.393794103,0.866347026,8.112683172,957.472278,0.393794103,0.866347026,8.112683172,,,0.18,4259.028187
0.19,245.6727284,1636.907352,3706.301512,2420.787076,952.1953585,4.558282396,2.067604574,,,952.1953585,0.414575458,0.912066007,8.071098285,952.1953585,0.414575458,0.912066007,8.071098285,,,0.19,4235.555394
0.2,245.5615864,1637.272559,3706.584653,2409.092182,946.9517977,4.535232524,2.057149316,,,946.9517977,0.435251504,0.957553308,8.029748248,946.9517977,0.435251504,0.957553308,8.029748248,,,0.2,4212.230986
0.21,245.4490059,1637.631841,3706.844515,2397.470323,941.7413896,4.512347075,2.046768638,,,941.7413896,0.455822997,1.002810593,7.988631942,941.7413896,0.455822997,1.002810593,7.988631942,,,0.21,4189.054049
0.22,245.3350511,1637.98522,3707.081161,2385.920527,936.5639213,4.489623673,2.036461464,,,936.5639213,0.476290683,1.047839503,7.947748182,936.5639213,0.476290683,1.047839503,7.947748182,,,0.22,4166.023635
0.23,245.2197806,1638.332717,3707.29465,2374.441773,931.419162,4.467059991,2.026226738,,,931.419162,0.496655298,1.092641655,7.90709562,931.419162,0.496655298,1.092641655,7.90709562,,,0.23,4143.138716
0.24,245.103248,1638.674346,3707.485035,2363.033063,926.3068678,4.444653747,2.016063424,,,926.3068678,0.516917565,1.137218643,7.866672791,926.3068678,0.516917565,1.137218643,7.866672791,,,0.24,4120.398209
0.25,244.985503,1639.010129,3707.652371,2351.693406,921.2267837,4.422402698,2.005970507,,,921.2267837,0.537078199,1.181572039,7.826478126,921.2267837,0.537078199,1.181572039,7.826478126,,,0.25,4097.800979
0.26,244.8665918,1639.340084,3707.796704,2340.421845,916.1786472,4.400304649,1.995946988,,,916.1786472,0.557137905,1.22570339,7.786509983,916.1786472,0.557137905,1.22570339,7.786509983,,,0.26,4075.345858
0.27,244.7465561,1639.664231,3707.918083,2329.217435,911.1621841,4.378357441,1.98599189,,,911.1621841,0.577097374,1.269614224,7.746766614,911.1621841,0.577097374,1.269614224,7.746766614,,,0.27,4053.031627
0.28,244.6254353,1639.982588,3708.016552,2318.079248,906.1771176,4.356558959,1.976104254,,,906.1771176,0.596957293,1.313306045,7.707246237,906.1771176,0.596957293,1.313306045,7.707246237,,,0.28,4030.857054
0.29,244.5032659,1640.295173,3708.09215,2307.006376,901.2231639,4.334907127,1.966283136,,,901.2231639,0.616718336,1.356780339,7.667947006,901.2231639,0.616718336,1.356780339,7.667947006,,,0.29,4008.820878
0.3,244.3800815,1640.602005,3708.144918,2295.997928,896.3000355,4.313399905,1.956527613,,,896.3000355,0.636381167,1.400038568,7.628867031,896.3000355,0.636381167,1.400038568,7.628867031,,,0.3,3986.921818
0.31,244.2559136,1640.903103,3708.174891,2285.053028,891.4074421,4.292035294,1.946836776,,,891.4074421,0.655946443,1.443082175,7.590004392,891.4074421,0.655946443,1.443082175,7.590004392,,,0.31,3965.158584
0.32,244.1307905,1641.198484,3708.182102,2274.170819,886.5450868,4.270811328,1.937209736,,,886.5450868,0.675414811,1.485912584,7.551357104,886.5450868,0.675414811,1.485912584,7.551357104,,,0.32,3943.529855
0.33,244.00474,1641.488167,3708.166583,2263.350459,881.7126771,4.249726081,1.927645617,,,881.7126771,0.694786908,1.528531199,7.51292321,881.7126771,0.694786908,1.528531199,7.51292321,,,0.33,3922.03433
0.34,243.8777869,1641.77217,3708.128363,2252.591121,876.9099148,4.228777657,1.918143561,,,876.9099148,0.714063365,1.570939402,7.474700698,876.9099148,0.714063365,1.570939402,7.474700698,,,0.34,3900.670683
0.35,243.7499546,1642.050511,3708.067466,2241.891994,872.1365022,4.2079642,1.908702724,,,872.1365022,0.7332448,1.61313856,7.436687552,872.1365022,0.7332448,1.61313856,7.436687552,,,0.35,3879.437589
0.36,243.6212649,1642.323208,3707.983919,2231.252284,867.3921414,4.187283882,1.899322278,,,867.3921414,0.752331827,1.65513002,7.398881743,867.3921414,0.752331827,1.65513002,7.398881743,,,0.36,3858.333724
0.37,243.4917381,1642.59028,3707.87774,2220.671208,862.6765346,4.166734911,1.890001411,,,862.6765346,0.77132505,1.696915111,7.36128124,862.6765346,0.77132505,1.696915111,7.36128124,,,0.37,3837.357761
0.38,243.3613931,1642.851745,3707.748952,2210.148001,857.9893846,4.146315525,1.880739323,,,857.9893846,0.790225064,1.738495142,7.323884003,857.9893846,0.790225064,1.738495142,7.323884003,,,0.38,3816.508381
0.39,243.2302476,1643.107621,3707.597569,2199.68191,853.3303951,4.126023996,1.871535229,,,853.3303951,0.809032458,1.779871407,7.286687998,853.3303951,0.809032458,1.779871407,7.286687998,,,0.39,3795.784263
0.4,243.0983177,1643.357927,3707.423607,2189.272197,848.6992699,4.105858623,1.862388358,,,848.6992699,0.82774781,1.821045182,7.249691181,848.6992699,0.82774781,1.821045182,7.249691181,,,0.4,3775.184092
0.41,242.9656194,1643.602681,3707.227079,2178.918137,844.0957173,4.085817737,1.853297955,,,844.0957173,0.846371693,1.862017726,7.212891538,844.0957173,0.846371693,1.862017726,7.212891538,,,0.41,3754.70657
0.42,242.8321666,1643.841902,3707.007994,2168.619018,839.5194443,4.065899697,1.844263273,,,839.5194443,0.864904673,1.902790281,7.17628704,839.5194443,0.864904673,1.902790281,7.17628704,,,0.42,3734.350392
0.43,242.6979729,1644.075607,3706.766363,2158.374142,834.9701608,4.046102891,1.835283582,,,834.9701608,0.883347306,1.943364073,7.13987567,834.9701608,0.883347306,1.943364073,7.13987567,,,0.43,3714.114269
0.44,242.5630506,1644.303811,3706.502191,2148.182823,830.4475786,4.026425736,1.826358164,,,830.4475786,0.901700142,1.983740311,7.103655425,830.4475786,0.901700142,1.983740311,7.103655425,,,0.44,3693.996919
0.45,242.4274112,1644.526542,3706.215481,2138.044379,825.9514114,4.006866675,1.817486313,,,825.9514114,0.919963723,2.023920191,7.06762431,825.9514114,0.919963723,2.023920191,7.06762431,,,0.45,3673.997068
0.46,242.2910659,1644.743815,3705.906238,2127.958163,821.4813764,3.987424176,1.808667333,,,821.4813764,0.938138586,2.06390489,7.03178035,821.4813764,0.938138586,2.06390489,7.03178035,,,0.46,3654.113459
0.47,242.1540246,1644.955648,3705.574461,2117.92352,817.037192,3.968096736,1.799900543,,,817.037192,0.95622526,2.103695571,6.996121577,817.037192,0.95622526,2.103695571,6.996121577,,,0.47,3634.344838
0.48,242.0162967,1645.162061,3705.220149,2107.93981,812.6185798,3.948882876,1.791185273,,,812.6185798,0.974224265,2.143293383,6.96064604,812.6185798,0.974224265,2.143293383,6.96064604,,,0.48,3614.689967
0.49,241.877891,1645.363073,3704.843298,2098.006409,808.2252636,3.929781143,1.782520862,,,808.2252636,0.992136118,2.182699459,6.925351804,808.2252636,0.992136118,2.182699459,6.925351804,,,0.49,3595.147618
