t,alt,m,v,vY,vX,aY,aX,alpha,fThrust,fDrag,fNormal
0.05,0,147,0.05,-0.05,0,-1,0,0,0,0,0
0.1,-0.0025,146.97,0.042741,-0.042741,0,0.14518,0,0,168.3,1.68E-05,0
0.15,-0.004637,146.86,0.021858,0.021858,0,1.292,0,0,336.6,1.23E-05,0
0.2,-0.0035441,146.69,0.14396,0.14396,0,2.442,0,0,504.91,3.21E-06,0
0.25,0.0036538,146.45,0.32381,0.32381,0,3.5969,0,0,673.21,0.00013133,0
0.3,0.019844,146.17,0.50617,0.50617,0,3.6473,0,0,679.29,0.00066442,0
0.35,0.045153,145.89,0.68875,0.68875,0,3.6516,0,0,678.62,0.0016236,0
0.4,0.07959,145.61,0.87154,0.87154,0,3.6558,0,0,677.94,0.0030061,0
0.45,0.12317,145.33,1.0545,1.0545,0,3.6601,0,0,677.26,0.0048134,0
0.5,0.1759,145.05,1.2378,1.2378,0,3.6643,0,0,676.58,0.007047,0
0.55,0.23778,144.78,1.4212,1.4212,0,3.6684,0,0,675.88,0.0097084,0
0.6,0.30884,144.5,1.6048,1.6048,0,3.6726,0,0,675.19,0.012799,0
0.65,0.38908,144.22,1.7887,1.7887,0,3.6768,0,0,674.49,0.01632,0
0.7,0.47852,143.95,1.9727,1.9727,0,3.681,0,0,673.81,0.020273,0
0.75,0.57715,143.67,2.157,2.157,0,3.6857,0,0,673.19,0.02466,0
0.8,0.685,143.39,2.3415,2.3415,0,3.6905,0,0,672.58,0.029483,0
0.85,0.80208,143.12,2.5263,2.5263,0,3.6952,0,0,671.97,0.034743,0
0.9,0.92839,142.84,2.7113,2.7113,0,3.7,0,0,671.35,0.040443,0
0.95,1.064,142.56,2.8965,2.8965,0,3.7047,0,0,670.73,0.046583,0
1,1.2088,142.29,3.082,3.082,0,3.7092,0,0,670.07,0.053166,0
1.05,1.3629,142.01,3.2677,3.2677,0,3.7137,0,0,669.41,0.060193,0
1.1,1.5263,141.74,3.4536,3.4536,0,3.7181,0,0,668.74,0.067665,0
1.15,1.6989,141.46,3.6397,3.6397,0,3.7226,0,0,668.08,0.075583,0
1.2,1.8809,141.19,3.826,3.826,0,3.7253,0,0,667.18,0.08395,0
1.25,2.0722,140.92,4.0123,4.0123,0,3.7269,0,0,666.11,0.092763,0
1.3,2.2728,140.64,4.1987,4.1987,0,3.7285,0,0,665.03,0.10202,0
1.35,2.4828,140.37,4.3852,4.3852,0,3.7301,0,0,663.96,0.11172,0
1.4,2.702,140.1,4.5718,4.5718,0,3.7316,0,0,662.89,0.12187,0
1.45,2.9306,139.83,4.7586,4.7586,0,3.736,0,0,662.22,0.13246,0
1.5,3.1686,139.55,4.9457,4.9457,0,3.7409,0,0,661.61,0.14351,0
1.55,3.4158,139.28,5.1329,5.1329,0,3.7457,0,0,660.99,0.15501,0
